match_no,stage,group,home,away,kickoff,status,home_score,away_score,venue
1,group,A,MEX,RSA,2026-06-11 20:00:00,finished,2,0,"Estadio Azteca, Cidade do México"
2,group,A,KOR,CZE,2026-06-12 16:00:00,finished,2,1,"BC Place, Vancouver"
3,group,A,MEX,KOR,2026-06-17 20:00:00,finished,1,0,"Estadio Azteca, Cidade do México"
4,group,A,CZE,RSA,2026-06-18 13:00:00,finished,1,1,"Estadio BBVA, Monterrey"
5,group,A,MEX,CZE,2026-06-24 14:00:00,open,,,"Estadio Akron, Guadalajara"
6,group,A,RSA,KOR,2026-06-24 14:00:00,open,,,"Estadio Azteca, Cidade do México"
7,group,B,CAN,BIH,2026-06-12 18:00:00,finished,1,1,"BMO Field, Toronto"
8,group,B,SUI,QAT,2026-06-13 13:00:00,finished,1,1,"BC Place, Vancouver"
9,group,B,SUI,BIH,2026-06-18 16:00:00,finished,4,1,"BC Place, Vancouver"
10,group,B,CAN,QAT,2026-06-18 19:00:00,finished,6,0,"BMO Field, Toronto"
11,group,B,CAN,SUI,2026-06-24 18:00:00,open,,,"BMO Field, Toronto"
12,group,B,BIH,QAT,2026-06-24 18:00:00,open,,,"BC Place, Vancouver"
13,group,C,BRA,MAR,2026-06-13 18:00:00,open,,,"SoFi Stadium, Los Angeles"
14,group,C,SCO,HAI,2026-06-13 21:00:00,open,,,"Mercedes-Benz Stadium, Atlanta"
15,group,C,BRA,SCO,2026-06-19 18:00:00,open,,,"SoFi Stadium, Los Angeles"
16,group,C,MAR,HAI,2026-06-19 21:00:00,open,,,"Levi's Stadium, São Francisco"
17,group,C,BRA,HAI,2026-06-25 18:00:00,open,,,"SoFi Stadium, Los Angeles"
18,group,C,MAR,SCO,2026-06-25 21:00:00,open,,,"Mercedes-Benz Stadium, Atlanta"
19,group,D,USA,AUS,2026-06-12 19:00:00,open,,,"SoFi Stadium, Los Angeles"
20,group,D,PAR,TUR,2026-06-13 16:00:00,open,,,"Hard Rock Stadium, Miami"
21,group,D,USA,PAR,2026-06-19 19:00:00,open,,,"SoFi Stadium, Los Angeles"
22,group,D,AUS,TUR,2026-06-19 16:00:00,open,,,"Lumen Field, Seattle"
23,group,D,USA,TUR,2026-06-25 19:00:00,open,,,"SoFi Stadium, Los Angeles"
24,group,D,AUS,PAR,2026-06-25 16:00:00,open,,,"Hard Rock Stadium, Miami"
25,group,E,GER,CUW,2026-06-14 16:00:00,finished,7,1,"MetLife Stadium, Nova York"
26,group,E,CIV,ECU,2026-06-14 13:00:00,finished,1,0,"Gillette Stadium, Boston"
27,group,E,GER,ECU,2026-06-20 16:00:00,open,,,"MetLife Stadium, Nova York"
28,group,E,ECU,CUW,2026-06-20 19:00:00,open,,,"Gillette Stadium, Boston"
29,group,E,GER,CIV,2026-06-25 16:00:00,open,,,"MetLife Stadium, Nova York"
30,group,E,CIV,CUW,2026-06-25 19:00:00,open,,,"Gillette Stadium, Boston"
31,group,F,NED,JPN,2026-06-15 16:00:00,finished,2,2,"MetLife Stadium, Nova York"
32,group,F,SWE,TUN,2026-06-15 13:00:00,finished,5,1,"Lincoln Financial Field, Filadélfia"
33,group,F,NED,SWE,2026-06-21 16:00:00,open,,,"MetLife Stadium, Nova York"
34,group,F,JPN,TUN,2026-06-21 13:00:00,open,,,"Lincoln Financial Field, Filadélfia"
35,group,F,NED,TUN,2026-06-26 16:00:00,open,,,"MetLife Stadium, Nova York"
36,group,F,JPN,SWE,2026-06-26 13:00:00,open,,,"Lincoln Financial Field, Filadélfia"
37,group,G,BEL,EGY,2026-06-15 19:00:00,finished,1,1,"Arrowhead Stadium, Kansas City"
38,group,G,IRN,NZL,2026-06-15 22:00:00,finished,2,2,"Levi's Stadium, São Francisco"
39,group,G,BEL,IRN,2026-06-21 19:00:00,open,,,"Arrowhead Stadium, Kansas City"
40,group,G,EGY,NZL,2026-06-21 22:00:00,open,,,"Levi's Stadium, São Francisco"
41,group,G,BEL,NZL,2026-06-26 19:00:00,open,,,"Arrowhead Stadium, Kansas City"
42,group,G,EGY,IRN,2026-06-26 22:00:00,open,,,"Levi's Stadium, São Francisco"
43,group,H,ESP,CPV,2026-06-14 19:00:00,finished,0,0,"AT&T Stadium, Dallas"
44,group,H,KSA,URU,2026-06-14 22:00:00,finished,1,1,"NRG Stadium, Houston"
45,group,H,ESP,URU,2026-06-20 22:00:00,open,,,"AT&T Stadium, Dallas"
46,group,H,CPV,KSA,2026-06-20 19:00:00,open,,,"NRG Stadium, Houston"
47,group,H,ESP,KSA,2026-06-25 22:00:00,open,,,"AT&T Stadium, Dallas"
48,group,H,CPV,URU,2026-06-25 19:00:00,open,,,"NRG Stadium, Houston"
49,group,I,FRA,SEN,2026-06-16 16:00:00,finished,3,1,"Mercedes-Benz Stadium, Atlanta"
50,group,I,NOR,IRQ,2026-06-16 13:00:00,finished,4,1,"Lumen Field, Seattle"
51,group,I,FRA,NOR,2026-06-22 16:00:00,open,,,"Mercedes-Benz Stadium, Atlanta"
52,group,I,SEN,IRQ,2026-06-22 13:00:00,open,,,"Lumen Field, Seattle"
53,group,I,FRA,IRQ,2026-06-27 16:00:00,open,,,"Mercedes-Benz Stadium, Atlanta"
54,group,I,SEN,NOR,2026-06-27 13:00:00,open,,,"Lumen Field, Seattle"
55,group,J,ARG,ALG,2026-06-16 19:00:00,finished,3,0,"Hard Rock Stadium, Miami"
56,group,J,AUT,JOR,2026-06-16 22:00:00,finished,3,1,"NRG Stadium, Houston"
57,group,J,ARG,AUT,2026-06-22 19:00:00,open,,,"Hard Rock Stadium, Miami"
58,group,J,ALG,JOR,2026-06-22 22:00:00,open,,,"NRG Stadium, Houston"
59,group,J,ARG,JOR,2026-06-27 19:00:00,open,,,"Hard Rock Stadium, Miami"
60,group,J,ALG,AUT,2026-06-27 22:00:00,open,,,"NRG Stadium, Houston"
61,group,K,POR,COD,2026-06-17 16:00:00,finished,1,1,"MetLife Stadium, Nova York"
62,group,K,COL,UZB,2026-06-17 13:00:00,finished,3,1,"AT&T Stadium, Dallas"
63,group,K,POR,COL,2026-06-23 16:00:00,open,,,"MetLife Stadium, Nova York"
64,group,K,COD,UZB,2026-06-23 13:00:00,open,,,"AT&T Stadium, Dallas"
65,group,K,POR,UZB,2026-06-28 16:00:00,open,,,"MetLife Stadium, Nova York"
66,group,K,COD,COL,2026-06-28 13:00:00,open,,,"AT&T Stadium, Dallas"
67,group,L,ENG,CRO,2026-06-17 19:00:00,finished,4,2,"Gillette Stadium, Boston"
68,group,L,GHA,PAN,2026-06-17 22:00:00,finished,1,0,"SoFi Stadium, Los Angeles"
69,group,L,ENG,GHA,2026-06-23 19:00:00,open,,,"Gillette Stadium, Boston"
70,group,L,CRO,PAN,2026-06-23 22:00:00,open,,,"SoFi Stadium, Los Angeles"
71,group,L,ENG,PAN,2026-06-28 19:00:00,open,,,"Gillette Stadium, Boston"
72,group,L,CRO,GHA,2026-06-28 22:00:00,open,,,"SoFi Stadium, Los Angeles"
101,r16,,BRA,MEX,2026-06-29 16:00:00,finished,2,1,"SoFi Stadium, Los Angeles"
102,r16,,ARG,USA,2026-06-29 20:00:00,finished,3,0,"MetLife Stadium, Nova York"
103,r16,,FRA,JPN,2026-06-30 16:00:00,open,,,"AT&T Stadium, Dallas"
104,r16,,ESP,URU,2026-06-30 20:00:00,open,,,"Mercedes-Benz Stadium, Atlanta"
105,r16,,GER,BEL,2026-07-01 16:00:00,finished,2,1,"Estadio Azteca, Cidade do México"
106,r16,,POR,NED,2026-07-01 20:00:00,open,,,"Hard Rock Stadium, Miami"
107,r16,,ENG,CRO,2026-07-02 16:00:00,open,,,"BC Place, Vancouver"
108,r16,,SUI,COL,2026-07-02 20:00:00,open,,,"Lumen Field, Seattle"
201,qf,,,,2026-07-04 16:00:00,open,,,"SoFi Stadium, Los Angeles"
202,qf,,,,2026-07-04 20:00:00,open,,,"AT&T Stadium, Dallas"
203,qf,,,,2026-07-05 16:00:00,open,,,"MetLife Stadium, Nova York"
204,qf,,,,2026-07-05 20:00:00,open,,,"Mercedes-Benz Stadium, Atlanta"
301,sf,,,,2026-07-14 20:00:00,open,,,"AT&T Stadium, Dallas"
302,sf,,,,2026-07-15 20:00:00,open,,,"Mercedes-Benz Stadium, Atlanta"
401,final,,,,2026-07-19 16:00:00,open,,,"MetLife Stadium, Nova York"
