code,name,group,confederation,flag
MEX,México,A,CONCACAF,🇲🇽
RSA,África do Sul,A,CAF,🇿🇦
KOR,Coreia do Sul,A,AFC,🇰🇷
CZE,Tchéquia,A,UEFA,🇨🇿
CAN,Canadá,B,CONCACAF,🇨🇦
BIH,Bósnia e Herzegovina,B,UEFA,🇧🇦
SUI,Suíça,B,UEFA,🇨🇭
QAT,Catar,B,AFC,🇶🇦
BRA,Brasil,C,CONMEBOL,🇧🇷
MAR,Marrocos,C,CAF,🇲🇦
SCO,Escócia,C,UEFA,🏴󠁧󠁢󠁳󠁣󠁴󠁿
HAI,Haiti,C,CONCACAF,🇭🇹
USA,Estados Unidos,D,CONCACAF,🇺🇸
AUS,Austrália,D,AFC,🇦🇺
PAR,Paraguai,D,CONMEBOL,🇵🇾
TUR,Turquia,D,UEFA,🇹🇷
GER,Alemanha,E,UEFA,🇩🇪
ECU,Equador,E,CONMEBOL,🇪🇨
CIV,Costa do Marfim,E,CAF,🇨🇮
CUW,Curaçao,E,CONCACAF,🇨🇼
NED,Holanda,F,UEFA,🇳🇱
JPN,Japão,F,AFC,🇯🇵
TUN,Tunísia,F,CAF,🇹🇳
SWE,Suécia,F,UEFA,🇸🇪
BEL,Bélgica,G,UEFA,🇧🇪
IRN,Irã,G,AFC,🇮🇷
EGY,Egito,G,CAF,🇪🇬
NZL,Nova Zelândia,G,OFC,🇳🇿
ESP,Espanha,H,UEFA,🇪🇸
URU,Uruguai,H,CONMEBOL,🇺🇾
KSA,Arábia Saudita,H,AFC,🇸🇦
CPV,Cabo Verde,H,CAF,🇨🇻
FRA,França,I,UEFA,🇫🇷
SEN,Senegal,I,CAF,🇸🇳
NOR,Noruega,I,UEFA,🇳🇴
IRQ,Iraque,I,AFC,🇮🇶
ARG,Argentina,J,CONMEBOL,🇦🇷
AUT,Áustria,J,UEFA,🇦🇹
ALG,Argélia,J,CAF,🇩🇿
JOR,Jordânia,J,AFC,🇯🇴
POR,Portugal,K,UEFA,🇵🇹
COL,Colômbia,K,CONMEBOL,🇨🇴
UZB,Uzbequistão,K,AFC,🇺🇿
COD,RD Congo,K,CAF,🇨🇩
ENG,Inglaterra,L,UEFA,🏴󠁧󠁢󠁥󠁮󠁧󠁿
CRO,Croácia,L,UEFA,🇭🇷
PAN,Panamá,L,CONCACAF,🇵🇦
GHA,Gana,L,CAF,🇬🇭
